Class,Rank,Feature,Mean_|SHAP|
Underweight,1,Weight,10.549413100149964
Underweight,2,Height,2.7854493605424926
Underweight,3,Age,0.6368269628633341
Underweight,4,CAEC_Frequently,0.39553121217750575
Underweight,5,family_history_with_overweight_yes,0.27245826201869444
Healthy,1,Weight,5.761003105323794
Healthy,2,Height,1.4388585973995933
Healthy,3,CAEC_Sometimes,0.5076069046404341
Healthy,4,FAF,0.300627049109229
Healthy,5,FCVC,0.24732923281774458
Overweight L1,1,Weight,2.317509230596591
Overweight L1,2,Height,0.838429553490924
Overweight L1,3,FCVC,0.42180756681004045
Overweight L1,4,MTRANS_Public_Transportation,0.2508710953626741
Overweight L1,5,Age,0.24441490934511037
Overweight L2,1,Gender_Male,0.4666567014904616
Overweight L2,2,Age,0.3506204143140464
Overweight L2,3,FAVC_yes,0.31510734149429076
Overweight L2,4,FCVC,0.30257525746569586
Overweight L2,5,family_history_with_overweight_yes,0.29401233434501295
Obesity L1,1,Weight,4.180889240740657
Obesity L1,2,Height,1.4804665490620872
Obesity L1,3,FCVC,0.601351978653766
Obesity L1,4,FAVC_yes,0.28359003718447756
Obesity L1,5,CH2O,0.26503893525182926
Obesity L2,1,Weight,8.195179276488885
Obesity L2,2,Height,2.033727752600327
Obesity L2,3,Gender_Male,1.7505232039775434
Obesity L2,4,Age,0.8833441755383257
Obesity L2,5,CH2O,0.4327967618660426
Obesity L3,1,Weight,6.318456787855919
Obesity L3,2,FCVC,1.9105856934501413
Obesity L3,3,Gender_Male,1.771961717106021
Obesity L3,4,Height,1.6664903001119495
Obesity L3,5,FAF,0.5754124244200719
