customer_id,step,age,region,recency_days,frequency,avg_monetary,action,donation,profit
0,0,63,east,119,6,39.229990783441906,0,0.0,0.0
0,1,63,east,154,6,34.94086449488013,0,0.0,0.0
0,2,63,east,178,6,27.246529779719378,0,0.0,0.0
0,3,63,east,205,6,33.01398999418344,0,0.0,0.0
0,4,63,east,241,6,25.237441387859224,0,0.0,0.0
0,5,63,east,263,6,38.372061205395646,0,0.0,0.0
1,0,60,south,349,6,51.35752585626028,0,0.0,0.0
1,1,60,south,383,6,51.707456698762925,0,0.0,0.0
1,2,60,south,410,6,35.878061088913896,0,0.0,0.0
1,3,60,south,447,6,35.61095078383159,0,0.0,0.0
1,4,60,south,486,6,22.670097552219104,0,0.0,0.0
1,5,60,south,509,6,12.28221545016957,0,0.0,0.0
1,6,60,south,536,6,30.28110996324184,0,0.0,0.0
1,7,60,south,562,6,42.66477349895666,0,0.0,0.0
2,0,37,south,50,7,4.935749660374762,0,0.0,0.0
2,1,37,south,83,7,6.974035526286945,0,0.0,0.0
2,2,37,south,111,7,15.883551598132314,0,0.0,0.0
2,3,37,south,135,8,16.136957276361088,0,0.0,0.0
2,4,37,south,156,8,7.761790048110555,0,0.0,0.0
2,5,37,south,182,8,1.0,0,0.0,0.0
3,0,38,north,276,8,49.542874554237194,0,0.0,0.0
3,1,38,north,313,8,53.9210692664282,0,0.0,0.0
3,2,38,north,334,8,57.71507538720956,0,0.0,0.0
3,3,38,north,371,8,53.92331104148404,0,0.0,0.0
3,4,38,north,392,8,47.24710293449224,0,0.0,0.0
4,0,73,south,228,9,12.29026760145323,0,180.13340884656796,180.13340884656796
4,1,73,south,262,9,6.636132332248475,0,2.876651340716672,2.876651340716672
4,2,73,south,291,9,13.585963887401263,0,12.152150279683728,12.152150279683728
4,3,73,south,314,9,6.44418973409191,0,45.005884354890604,45.005884354890604
4,4,73,south,351,9,15.845445256190224,0,0.0,0.0
4,5,73,south,379,9,1.0,0,0.0,0.0
4,6,73,south,417,9,7.672230298260025,0,107.9586975672205,107.9586975672205
5,0,22,east,112,2,76.71582453583045,0,17.353857934904152,17.353857934904152
5,1,22,east,148,2,75.3081922507264,1,0.0,-0.5
5,2,22,east,183,2,79.75566799259897,1,0.0,-0.5
5,3,22,east,207,2,89.51498399833493,1,0.0,-0.5
5,4,22,east,229,2,92.76825351390492,1,0.0,-0.5
5,5,22,east,250,2,104.48801162157086,1,0.0,-0.5
5,6,22,east,280,2,119.47587162421917,1,0.0,-0.5
5,7,22,east,319,2,124.72798385812145,1,0.0,-0.5
6,0,55,south,107,3,22.255566432456988,0,0.0,0.0
6,1,55,south,139,3,12.47498937161415,0,0.0,0.0
